Période;Capteurs;Vitesse;Production;Accumulation
40;sensor_zone_1_1;7.778;1169.9457444444445;150.41830555555555
40;sensor_zone_1_2;5.441;1245.0762;228.85229444444445
40;sensor_zone_1_3;7.735;898.3229833333332;116.14008333333334
40;sensor_zone_2_1;3.974;1340.49505;337.27736111111113
40;sensor_zone_2_2;1.921;3475.24435;1809.0100055555554
40;sensor_zone_2_3;3.887;1084.6013888888888;279.04839444444445
40;sensor_zone_3_1;7.681;929.5150111111111;121.01760555555556
40;sensor_zone_3_2;2.892;1021.5171222222222;353.21905
40;sensor_zone_3_3;8.359;981.7292944444443;117.43975555555555
41;sensor_network;4.051;17942.513233333335;4429.428133333334
41;sensor_zone_1_1;7.868;1292.2586833333332;164.24101666666667
41;sensor_zone_1_2;5.598;954.5903111111111;170.53261666666666
41;sensor_zone_1_3;7.388;941.0030444444445;127.37203333333333
41;sensor_zone_2_1;3.999;1101.2910333333334;275.38145
41;sensor_zone_2_2;1.718;3006.989138888889;1749.802738888889
41;sensor_zone_2_3;4.114;1089.8995944444443;264.9419888888889
41;sensor_zone_3_1;7.713;1048.2216555555556;135.90365555555556
41;sensor_zone_3_2;3.157;964.5852444444445;305.52191666666664
41;sensor_zone_3_3;8.097;941.0061444444444;116.22251666666666
42;sensor_network;4.25;17646.080677777776;4152.140961111111
42;sensor_zone_1_1;7.703;1195.575211111111;155.21757222222223
42;sensor_zone_1_2;5.895;927.68745;157.37750555555556
42;sensor_zone_1_3;7.839;970.7482555555555;123.83040555555557
42;sensor_zone_2_1;4.027;943.2302722222222;234.20752777777778
42;sensor_zone_2_2;1.888;3087.591511111111;1635.18255
42;sensor_zone_2_3;4.288;1010.9701111111111;235.76233333333334
42;sensor_zone_3_1;7.779;999.5835555555556;128.49286666666666
