Zone_1_1;Zone_1_2;Zone_1_3;Zone_2_1;Zone_2_2;Zone_2_3;Zone_3_1;Zone_3_2;Zone_3_3
T_SN_20_7;T_SN_20_14;T_SN_20_21;T_SN_13_7;T_SN_13_14;T_SN_13_21;T_SN_6_7;T_SN_6_14;T_SN_6_21
T_OE_8_9;T_OE_8_16;T_OE_8_23;T_OE_15_9;T_OE_15_16;T_OE_15_23;T_OE_22_9;T_OE_22_16;T_OE_22_23
T_EO_8_20;T_EO_8_13;T_EO_8_6;T_EO_15_20;T_EO_15_13;T_EO_15_6;T_EO_22_20;T_EO_22_13;T_EO_22_6
T_NS_9_8;T_NS_9_15;T_NS_9_22;T_NS_16_8;T_NS_16_15;T_NS_16_22;T_NS_23_8;T_NS_23_15;T_NS_23_22
T_SN_20_8;T_SN_20_15;T_SN_20_22;T_SN_13_8;T_SN_13_15;T_SN_13_22;T_SN_6_8;T_SN_6_15;T_SN_6_22
T_OE_9_9;T_OE_9_16;T_OE_9_23;T_OE_16_9;T_OE_16_16;T_OE_16_23;T_OE_23_9;T_OE_23_16;T_OE_23_23
T_EO_9_20;T_EO_9_13;T_EO_9_6;T_EO_16_20;T_EO_16_13;T_EO_16_6;T_EO_23_20;T_EO_23_13;T_EO_23_6
T_NS_9_9;T_NS_9_16;T_NS_9_23;T_NS_16_9;T_NS_16_16;T_NS_16_23;T_NS_23_9;T_NS_23_16;T_NS_23_23
T_SN_20_9;T_SN_20_16;T_SN_20_23;T_SN_13_9;T_SN_13_16;T_SN_13_23;T_SN_6_9;T_SN_6_16;T_SN_6_23
T_OE_10_9;T_OE_10_16;T_OE_10_23;T_OE_17_9;T_OE_17_16;T_OE_17_23;T_OE_24_9;T_OE_24_16;T_OE_24_23
T_EO_10_20;T_EO_10_13;T_EO_10_6;T_EO_17_20;T_EO_17_13;T_EO_17_6;T_EO_24_20;T_EO_24_13;T_EO_24_6
T_NS_9_10;T_NS_9_17;T_NS_9_24;T_NS_16_10;T_NS_16_17;T_NS_16_24;T_NS_23_10;T_NS_23_17;T_NS_23_24
T_SN_20_10;T_SN_20_17;T_SN_20_24;T_SN_13_10;T_SN_13_17;T_SN_13_24;T_SN_6_10;T_SN_6_17;T_SN_6_24
T_OE_4_10;T_OE_4_17;T_OE_4_24;T_OE_11_10;T_OE_11_17;T_OE_11_24;T_OE_18_10;T_OE_18_17;T_OE_18_24
T_EO_4_19;T_EO_4_12;T_EO_4_5;T_EO_11_19;T_EO_11_12;T_EO_11_5;T_EO_18_19;T_EO_18_12;T_EO_18_5
T_NS_10_4;T_NS_10_11;T_NS_10_18;T_NS_17_4;T_NS_17_11;T_NS_17_18;T_NS_24_4;T_NS_24_11;T_NS_24_18
T_SN_19_4;T_SN_19_11;T_SN_19_18;T_SN_12_4;T_SN_12_11;T_SN_12_18;T_SN_5_4;T_SN_5_11;T_SN_5_18
T_OE_5_10;T_OE_5_17;T_OE_5_24;T_OE_12_10;T_OE_12_17;T_OE_12_24;T_OE_19_10;T_OE_19_17;T_OE_19_24
T_EO_5_19;T_EO_5_12;T_EO_5_5;T_EO_12_19;T_EO_12_12;T_EO_12_5;T_EO_19_19;T_EO_19_12;T_EO_19_5
T_NS_10_5;T_NS_10_12;T_NS_10_19;T_NS_17_5;T_NS_17_12;T_NS_17_19;T_NS_24_5;T_NS_24_12;T_NS_24_19
T_SN_19_5;T_SN_19_12;T_SN_19_19;T_SN_12_5;T_SN_12_12;T_SN_12_19;T_SN_5_5;T_SN_5_12;T_SN_5_19
T_OE_6_10;T_OE_6_17;T_OE_6_24;T_OE_13_10;T_OE_13_17;T_OE_13_24;T_OE_20_10;T_OE_20_17;T_OE_20_24
T_EO_6_19;T_EO_6_12;T_EO_6_5;T_EO_13_19;T_EO_13_12;T_EO_13_5;T_EO_20_19;T_EO_20_12;T_EO_20_5
T_NS_10_6;T_NS_10_13;T_NS_10_20;T_NS_17_6;T_NS_17_13;T_NS_17_20;T_NS_24_6;T_NS_24_13;T_NS_24_20
T_SN_19_6;T_SN_19_13;T_SN_19_20;T_SN_12_6;T_SN_12_13;T_SN_12_20;T_SN_5_6;T_SN_5_13;T_SN_5_20
